,horodate,P
335,2019-01-07T00:00:00+00:00,13.728530282184177
334,2019-01-07T00:30:00+00:00,13.703566390156718
333,2019-01-07T01:00:00+00:00,13.581125668803923
332,2019-01-07T01:30:00+00:00,13.255907635830145
331,2019-01-07T02:00:00+00:00,13.167694340390893
330,2019-01-07T02:30:00+00:00,13.030593812345291
329,2019-01-07T03:00:00+00:00,13.277507894969158
328,2019-01-07T03:30:00+00:00,13.288525344429374
327,2019-01-07T04:00:00+00:00,14.425849945027585
326,2019-01-07T04:30:00+00:00,14.718338188682843
325,2019-01-07T05:00:00+00:00,40.754231574317046
324,2019-01-07T05:30:00+00:00,41.76351130998792
323,2019-01-07T06:00:00+00:00,48.38298864562081
322,2019-01-07T06:30:00+00:00,49.80257141555407
321,2019-01-07T07:00:00+00:00,55.425474999261205
320,2019-01-07T07:30:00+00:00,56.184095358810566
319,2019-01-07T08:00:00+00:00,14.842746921842359
318,2019-01-07T08:30:00+00:00,14.934481153639906
317,2019-01-07T09:00:00+00:00,14.939270450209701
316,2019-01-07T09:30:00+00:00,14.906642704537074
315,2019-01-07T10:00:00+00:00,58.67088242755925
314,2019-01-07T10:30:00+00:00,58.69904475958927
313,2019-01-07T11:00:00+00:00,55.08767699471785
312,2019-01-07T11:30:00+00:00,54.694031183614946
311,2019-01-07T12:00:00+00:00,54.70033376553112
310,2019-01-07T12:30:00+00:00,54.91877485120203
309,2019-01-07T13:00:00+00:00,56.109742755023355
308,2019-01-07T13:30:00+00:00,56.08868374133532
307,2019-01-07T14:00:00+00:00,55.482051524483644
306,2019-01-07T14:30:00+00:00,55.56784315512478
305,2019-01-07T15:00:00+00:00,54.39152324808788
304,2019-01-07T15:30:00+00:00,53.991579280632074
303,2019-01-07T16:00:00+00:00,51.84830332321878
302,2019-01-07T16:30:00+00:00,51.887091281189996
301,2019-01-07T17:00:00+00:00,13.569506438102522
300,2019-01-07T17:30:00+00:00,13.488929821471372
299,2019-01-07T18:00:00+00:00,13.133888842488027
298,2019-01-07T18:30:00+00:00,12.517205654721788
297,2019-01-07T19:00:00+00:00,43.19007751396932
296,2019-01-07T19:30:00+00:00,42.65201734922876
295,2019-01-07T20:00:00+00:00,39.87851193765867
294,2019-01-07T20:30:00+00:00,39.49575550542134
293,2019-01-07T21:00:00+00:00,16.784007150557244
292,2019-01-07T21:30:00+00:00,16.759577117467224
291,2019-01-07T22:00:00+00:00,16.417305328306
290,2019-01-07T22:30:00+00:00,16.06495528078321
289,2019-01-07T23:00:00+00:00,15.571003422427708
288,2019-01-07T23:30:00+00:00,15.302184449159208
287,2019-01-08T00:00:00+00:00,15.049315419127868
286,2019-01-08T00:30:00+00:00,14.98904836615237
285,2019-01-08T01:00:00+00:00,14.790850237448682
284,2019-01-08T01:30:00+00:00,14.494955668849517
283,2019-01-08T02:00:00+00:00,14.224383155329004
282,2019-01-08T02:30:00+00:00,14.098755675346675
281,2019-01-08T03:00:00+00:00,14.172735863021183
280,2019-01-08T03:30:00+00:00,14.215162170722202
279,2019-01-08T04:00:00+00:00,15.105575770704629
278,2019-01-08T04:30:00+00:00,15.429073240663717
277,2019-01-08T05:00:00+00:00,42.70319616573996
276,2019-01-08T05:30:00+00:00,43.88329688501715
275,2019-01-08T06:00:00+00:00,50.16861396127807
274,2019-01-08T06:30:00+00:00,51.265219631480655
273,2019-01-08T07:00:00+00:00,56.507560467915425
272,2019-01-08T07:30:00+00:00,57.19863401486637
271,2019-01-08T08:00:00+00:00,14.832849774709027
270,2019-01-08T08:30:00+00:00,14.965996688310796
269,2019-01-08T09:00:00+00:00,14.95650899833009
268,2019-01-08T09:30:00+00:00,14.972814135086079
267,2019-01-08T10:00:00+00:00,59.07037514968199
266,2019-01-08T10:30:00+00:00,58.92283627297469
265,2019-01-08T11:00:00+00:00,55.25534483369458
264,2019-01-08T11:30:00+00:00,54.86666370581533
263,2019-01-08T12:00:00+00:00,54.84048447796186
262,2019-01-08T12:30:00+00:00,55.14594808022947
261,2019-01-08T13:00:00+00:00,56.07742200057816
260,2019-01-08T13:30:00+00:00,55.99923422353562
259,2019-01-08T14:00:00+00:00,55.35734367386819
258,2019-01-08T14:30:00+00:00,55.1198777506676
257,2019-01-08T15:00:00+00:00,53.94117571673249
256,2019-01-08T15:30:00+00:00,53.99613696698351
255,2019-01-08T16:00:00+00:00,51.62789315166589
254,2019-01-08T16:30:00+00:00,51.59701772532002
253,2019-01-08T17:00:00+00:00,13.507938261854694
252,2019-01-08T17:30:00+00:00,13.470248924864766
251,2019-01-08T18:00:00+00:00,13.192772997711046
250,2019-01-08T18:30:00+00:00,12.494513814653775
249,2019-01-08T19:00:00+00:00,43.05030761934603
248,2019-01-08T19:30:00+00:00,42.64345172889233
247,2019-01-08T20:00:00+00:00,39.80371165412955
246,2019-01-08T20:30:00+00:00,39.4344293836707
245,2019-01-08T21:00:00+00:00,16.77646845583464
244,2019-01-08T21:30:00+00:00,16.748878827657645
243,2019-01-08T22:00:00+00:00,16.364537531651028
242,2019-01-08T22:30:00+00:00,15.953138345662483
241,2019-01-08T23:00:00+00:00,15.35855448739714
240,2019-01-08T23:30:00+00:00,15.039588679096386
239,2019-01-09T00:00:00+00:00,14.766850803466934
238,2019-01-09T00:30:00+00:00,14.729486888126477
237,2019-01-09T01:00:00+00:00,14.575980743235927
236,2019-01-09T01:30:00+00:00,14.295808021618077
235,2019-01-09T02:00:00+00:00,14.024983018645036
234,2019-01-09T02:30:00+00:00,13.837817727103403
233,2019-01-09T03:00:00+00:00,13.934412677282722
232,2019-01-09T03:30:00+00:00,14.006511433877808
231,2019-01-09T04:00:00+00:00,14.91409237576749
230,2019-01-09T04:30:00+00:00,15.248768994975688
229,2019-01-09T05:00:00+00:00,42.46608621139302
228,2019-01-09T05:30:00+00:00,43.44930065359691
227,2019-01-09T06:00:00+00:00,50.133244730399134
226,2019-01-09T06:30:00+00:00,51.27230622129781
225,2019-01-09T07:00:00+00:00,56.69491250264646
224,2019-01-09T07:30:00+00:00,57.54493796641994
223,2019-01-09T08:00:00+00:00,14.754663536491636
222,2019-01-09T08:30:00+00:00,14.935210153747343
221,2019-01-09T09:00:00+00:00,14.986328861113662
220,2019-01-09T09:30:00+00:00,15.046541116143352
219,2019-01-09T10:00:00+00:00,60.150689964990974
218,2019-01-09T10:30:00+00:00,60.16368569705043
217,2019-01-09T11:00:00+00:00,56.41152947465057
216,2019-01-09T11:30:00+00:00,55.98296062846649
215,2019-01-09T12:00:00+00:00,55.86331434477585
214,2019-01-09T12:30:00+00:00,56.217640751795415
213,2019-01-09T13:00:00+00:00,57.252439575564004
212,2019-01-09T13:30:00+00:00,57.23653204085943
211,2019-01-09T14:00:00+00:00,56.436044907045414
210,2019-01-09T14:30:00+00:00,56.49620333238797
209,2019-01-09T15:00:00+00:00,55.1271142725339
208,2019-01-09T15:30:00+00:00,55.4972490583229
207,2019-01-09T16:00:00+00:00,53.10341973095347
206,2019-01-09T16:30:00+00:00,53.30429282583185
205,2019-01-09T17:00:00+00:00,14.060767610314606
204,2019-01-09T17:30:00+00:00,14.069264876941343
203,2019-01-09T18:00:00+00:00,13.716680255925969
202,2019-01-09T18:30:00+00:00,13.045604121395662
